angle_deg,distance_mm,quality,rotation
0.00,196.0,13,0
4.50,196.2,12,0
9.00,194.2,18,0
13.50,192.2,14,0
18.00,0.0,0,0
22.50,0.0,0,0
27.00,0.0,0,0
31.50,0.0,0,0
36.00,0.0,0,0
40.50,0.0,0,0
45.00,0.0,0,0
49.50,0.0,0,0
54.00,0.0,0,0
58.50,704.5,228,0
63.00,704.5,201,0
67.50,704.5,179,0
72.00,704.5,162,0
76.50,704.5,147,0
81.00,704.5,134,0
85.50,704.5,106,0
90.00,704.5,77,0
94.50,704.5,64,0
99.00,704.5,51,0
103.50,704.5,36,0
108.00,704.2,52,0
112.50,704.2,42,0
117.00,896.2,60,0
121.50,896.5,77,0
126.00,896.5,105,0
130.50,896.5,134,0
135.00,896.5,157,0
139.50,896.5,186,0
144.00,896.5,205,0
148.50,896.5,216,0
153.00,896.2,137,0
157.50,0.0,0,0
162.00,896.0,219,0
166.50,896.0,210,0
171.00,960.0,62,0
175.50,960.0,35,0
180.00,960.0,162,0
184.50,960.2,116,0
189.00,960.0,176,0
193.50,960.2,233,0
198.00,960.2,215,0
202.50,1024.2,60,0
207.00,1024.0,101,0
211.50,1024.0,80,0
216.00,1024.0,184,0
220.50,1024.2,181,0
225.00,1088.0,14,0
229.50,1088.0,32,0
234.00,1088.0,117,0
238.50,1152.2,47,0
243.00,1152.2,135,0
247.50,1152.2,223,0
252.00,1216.2,34,0
256.50,1216.2,110,0
261.00,1216.2,183,0
265.50,1280.2,21,0
270.00,1088.2,239,0
274.50,1280.0,66,0
279.00,1280.0,9,0
283.50,1216.0,200,0
288.00,0.0,0,0
292.50,0.0,0,0
297.00,0.0,0,0
301.50,13.2,226,0
306.00,3.5,228,0
310.50,5.2,218,0
315.00,0.0,0,0
319.50,7.8,213,0
324.00,0.0,0,0
328.50,0.0,0,0
333.00,0.0,0,0
337.50,5.2,192,0
342.00,0.0,0,0
346.50,0.0,0,0
351.00,7.5,185,0
355.50,0.0,0,0
0.00,8.5,182,1
0.90,0.0,0,1
1.80,0.0,0,1
2.70,2.8,199,1
3.60,0.0,0,1
4.50,12.5,129,1
5.40,0.0,0,1
6.30,14.8,128,1
7.20,0.0,0,1
8.10,0.0,0,1
9.00,0.0,0,1
9.90,0.0,0,1
10.80,0.0,0,1
11.70,0.0,0,1
12.60,0.0,0,1
13.50,0.0,0,1
14.40,0.0,0,1
15.30,16.8,122,1
16.20,0.0,0,1
17.10,0.0,0,1
18.00,0.0,0,1
18.90,0.0,0,1
19.80,0.0,0,1
20.70,0.0,0,1
21.60,0.0,0,1
22.50,0.0,0,1
23.40,0.0,0,1
24.30,0.0,0,1
25.20,0.0,0,1
26.10,0.0,0,1
27.00,0.0,0,1
27.90,0.0,0,1
28.80,0.0,0,1
29.70,0.0,0,1
30.60,0.0,0,1
31.50,0.0,0,1
32.40,0.0,0,1
33.30,0.0,0,1
34.20,0.0,0,1
35.10,0.0,0,1
36.00,0.0,0,1
36.90,0.0,0,1
37.80,69.0,34,1
38.70,68.0,30,1
39.60,0.0,0,1
40.50,68.5,26,1
41.40,68.0,26,1
42.30,0.0,0,1
43.20,66.8,26,1
44.10,0.0,0,1
45.00,0.0,0,1
45.90,0.0,0,1
46.80,66.5,33,1
47.70,0.0,0,1
48.60,0.0,0,1
49.50,0.0,0,1
50.40,0.0,0,1
51.30,0.0,0,1
52.20,0.0,0,1
53.10,68.5,44,1
54.00,68.5,44,1
54.90,0.0,0,1
55.80,0.0,0,1
56.70,0.0,0,1
57.60,0.0,0,1
58.50,0.0,0,1
59.40,0.0,0,1
60.30,0.0,0,1
61.20,0.0,0,1
62.10,0.0,0,1
63.00,3.0,230,1
63.90,0.0,0,1
64.80,3.5,225,1
65.70,0.0,0,1
66.60,3.5,222,1
67.50,2.8,220,1
